id,name,organization,description,is_deleted,status,format,start_time,end_time,cost,city,place,event_type,specialization,participant_offline_limit,participant_online_limit,registration_deadline,livestream_link,additional_materials_link,image,is_featured,is_featured_on_yandex_afisha,
1,TensorFlow для начинающих,Яндекс,Митап	 на котором обсуждаются основы TensorFlow	 популярного фреймворка для машинного обучения.,false,registration is open,online,2024-04-20 10:00:00+03:00,2024-04-20 13:30:00+03:00,0,0,,3,5,0,0,2024-04-20 09:00:00+03:00,,,events/1.png,true,true,ML
4,Применение машинного обучения,Яндекс,Конференция	 на которой обсуждаются возможности использования машинного обучения в финансовом секторе.,false,registration offline is closed,hybrid,2024-05-02 14:00:00+03:00,2024-05-02 17:30:00+03:00,0,1,ул. Сущевский вал	 д. 18	 15 этаж,2,5,200,0,2024-05-01 14:00:00+03:00,,,events/4  редакт_png.png,true,true,ML
6,Тестирование с JMeter,Яндекс,Вебинар	 на котором обсуждаются Тестирование производительности с JMeter.,false,registration is open,offline,2024-05-17 14:00:00+03:00,2024-05-17 17:30:00+03:00,0,3,Будённовский пр-т.	 59,1,6,0,0,2024-05-16 14:00:00+03:00,,,events/6.png,true,true,qa
2,Глубокое обучение с PyTorch,Яндекс,Вебинар	 на котором обсуждаются основы глубокого обучения с использованием PyTorch.,false,registration is open,offline,2024-04-26 14:00:00+03:00,2024-04-26 17:30:00+03:00,0,2,Аптекарский пр.	 4	 к. 2	 стр. 1,1,5,0,0,2024-04-26 13:00:00+03:00,,,events/2.png,false,false,ML
3,Сверточные нейронные сети,Яндекс,Встреча	 на которой обсуждаются возможности использования сверточных нейронных сетей в компьютерном зрении.,false,registration is closed,hybrid,2024-01-08 10:00:00+03:00,2024-01-08 13:30:00+03:00,0,3,Будённовский пр-т.	 59,5,5,500,0,2024-01-07 10:00:00+03:00,,,events/3.png,false,false,ML
5,Тестирование с Selenium,Яндекс,Митап	 на котором обсуждаются Автоматизация тестирования с Selenium.,false,registration is closed,online,2024-02-25 10:00:00+03:00,2024-02-25 13:30:00+03:00,0,0,,3,6,0,0,2024-02-25 08:00:00+03:00,,,events/5.png,false,false,qa
7,Waterfall vs Agile,Яндекс,Встреча	 на которой обсуждаются Методологии тестирования: Waterfall vs Agile.,false,registration is open,online,2024-07-01 10:00:00+03:00,2024-07-01 13:30:00+03:00,0,0,,5,6,300,0,2024-07-01 09:30:00+03:00,,,events/7.png,false,false,qa
8,Тестирование веб-приложений,Яндекс,Конференция	 на которой обсуждаются возможности использования Тестирование безопасности веб-приложений.,false,registration online is closed,hybrid,2024-06-12 14:00:00+03:00,2024-06-12 17:30:00+03:00,0,1,ул. Примерная	 д. 1,2,6,400,0,2024-06-12 13:30:00+03:00,,,events/8.png,false,false,qa
9,Введение в Docker,Яндекс,"Митап, на котором обсуждаются основы работы с Docker, инструментом для создания, развертывания и управления контейнерами.",false,registration is open,online,2024-04-29 10:00:00+03:00,2024-04-29 13:30:00+03:00,0,0,,3,7,0,0,2024-04-29 09:00:00+03:00,,,events/9.png,false,false,DevOps
10,CI/CD с Jenkins,Яндекс,"Вебинар, на котором обсуждаются основы CI/CD с использованием Jenkins.",false,registration is open,offline,2024-04-28 14:00:00+03:00,2024-04-28 17:30:00+03:00,0,2,Аптекарский пр.	 4	 к. 2	 стр. 1,1,7,300,0,2024-04-28 14:00:00+03:00,,,events/10.png,false,false,DevOps
11,Управление конфигурацией с Ansible,Яндекс,"Встреча, на которой обсуждаются основы управления конфигурацией с использованием Ansible",false,registration is closed,hybrid,2024-02-07 10:00:00+03:00,2024-02-07 13:30:00+03:00,0,3,ул. Города Волос 14,5,7,800,0,2024-02-07 10:00:00+03:00,,,events/11_mini.png,false,false,DevOps
12,Кластеризация и оркестрация с Kubernetes,Яндекс,"Конференция, на которой обсуждаются основы работы с Kubernetes, платформой для автоматизации развертывания, масштабирования и управления контейнеризированными приложениями.",false,registration offline is closed,hybrid,2024-05-08 14:00:00+03:00,2024-05-08 17:30:00+03:00,0,2,"Петергоф, Санкт-Петербургский проспект 34, Отель ""Новый Петергоф""",2,7,600,0,2024-05-08 14:00:00+03:00,,,events/12.png,false,false,DevOps
13,Аналитика данных с Python,Яндекс,"Митап, на котором обсуждаются основы аналитики данных с использованием Python.",false,registration offline is closed,online,2024-04-07 10:00:00+03:00,2024-04-07 13:30:00+03:00,0,0,,3,8,0,0,2024-04-07 10:00:00+03:00,,,events/13.png,false,false,Аналитика
14,Бизнес-аналитика: инструменты и методы,Яндекс,"Вебинар, на котором обсуждаются основные инструменты и методы в бизнес-аналитике.",false,registration is open,online,2024-05-18 14:00:00+03:00,2024-05-18 17:30:00+03:00,0,0,,1,8,0,0,2024-05-18 14:00:00+03:00,,,events/14.png,false,false,Аналитика
15,Аналитика в социальных сетях,Яндекс,"Встреча, на которой обсуждается, как использовать данные из социальных сетей для аналитики.",false,registration online is closed,hybrid,2024-04-28 14:00:00+03:00,2024-04-28 17:30:00+03:00,0,1,"Prosvet Hall, Валовая улица д.28",5,8,300,0,2024-04-28 14:00:00+03:00,,,events/15.png,false,false,Аналитика
16,Big Data: проблемы и решения,Яндекс,"Конференция, на которой обсуждаются проблемы и решения в области Big Data.",false,registration is open,offline,2024-05-05 14:00:00+03:00,2024-05-05 17:30:00+03:00,0,0,,2,8,0,0,2024-05-05 14:00:00+03:00,,,events/16.png,false,false,Аналитика
17,Введение в машинное обучение с Python,Яндекс,"Митап, где обсуждаются основы машинного обучения с использованием Python.",false,registration online is closed,online,2024-04-14 14:00:00+03:00,2024-04-14 17:30:00+03:00,0,0,,3,4,0,0,2024-04-14 14:00:00+03:00,,,events/17.png,false,false,AI
18,Искусственный интеллект в играх,Яндекс,"Вебинар, на котором обсуждается применение AI в разработке игр.",false,registration is closed,online,2024-04-01 14:00:00+03:00,2024-04-01 17:30:00+03:00,0,0,,1,4,0,0,2024-04-01 14:00:00+03:00,,,events/18.png,false,false,AI
19,AI в здравоохранении: возможности и вызовы,Яндекс,"Встреча, на которой обсуждаются возможности и вызовы использования AI в здравоохранении.",false,registration is open,offline,2024-05-22 14:00:00+03:00,2024-05-22 17:30:00+03:00,0,1,"Мурманский проезд, дом 14, корпус 1",5,4,100,0,2024-05-22 14:00:00+03:00,,,events/19.png,false,false,AI
20,Нейронные сети: от теории к практике,Яндекс,"Конференция, на которой обсуждаются нейронные сети и их применение.",false,registration offline is closed,hybrid,2024-04-15 14:00:00+03:00,2024-04-15 17:30:00+03:00,0,2,"пр. Медиков 3, лит А.",2,4,0,0,2024-04-15 14:00:00+03:00,,,events/20.png,false,false,AI
21,Проектирование пользовательского интерфейса с нуля,Яндекс,"Митап, на котором обсуждаются основы проектирования пользовательских интерфейсов.",false,registration online is closed,offline,2024-04-16 14:00:00+03:00,2024-04-16 17:30:00+03:00,0,2,"Московский пр., 97",3,3,400,0,2024-04-16 14:00:00+03:00,,,events/21_mini.png,false,false,UX
22,"Принципы UX: как создать продукт, которым люди будут пользоваться",Яндекс,"Вебинар, где обсуждаются основные принципы UX-дизайна.",false,registration offline is closed,online,2024-04-29 14:00:00+03:00,2024-04-29 17:30:00+03:00,0,0,,1,3,0,0,2024-04-29 14:00:00+03:00,,,events/22.png,false,false,UX
23,Исследование пользователей в UI/UX,Яндекс,"Встреча, на которой обсуждаются методы исследования пользователей при проектировании интерфейсов.",false,registration is open,hybrid,2024-06-01 10:00:00+03:00,2024-06-01 13:30:00+03:00,0,2,"пр. Медиков 3, лит А.",5,3,300,0,2024-06-01 10:00:00+03:00,,,events/23.png,false,false,UX
24,Создание интерактивных прототипов в Figma,Яндекс,"Воркшоп, на котором участники смогут попрактиковаться в создании интерактивных прототипов в Figma.",false,registration is open,online,2024-05-10 14:00:00+03:00,2024-05-10 17:30:00+03:00,0,0,,2,3,0,0,2024-05-10 14:00:00+03:00,,,events/24.png,false,false,UX
25,Микросервисы с Node.js,Яндекс,"Митап, где обсуждаются лучшие практики и стратегии для создания микросервисов с использованием Node.js.",false,registration is open,offline,2024-04-21 14:00:00+03:00,2024-04-21 17:30:00+03:00,0,1,"Покровский бульвар, д.11",3,2,0,0,2024-04-21 14:00:00+03:00,,,events/25.png,false,false,back
26,Введение в Django,Яндекс,"Вебинар для тех, кто хочет начать работать с Django, популярным фреймворком Python.",false,registration is closed,online,2024-04-04 14:00:00+03:00,2024-04-04 17:30:00+03:00,0,0,,1,2,0,0,2024-04-04 14:00:00+03:00,,,events/26.png,false,false,back
27,Работа с базами данных в Go,Яндекс,"Встреча, на которой обсуждается, как эффективно работать с базами данных в Go.",false,registration is open,hybrid,2024-05-07 14:00:00+03:00,2024-05-07 17:30:00+03:00,0,1,"Prosvet Hall, Валовая улица д.28",5,2,200,0,2024-05-07 14:00:00+03:00,,,events/27.png,false,false,back
28,Асинхронное программирование в .NET,Яндекс,"Конференция, посвященная асинхронному программированию в .NET.",false,registration is open,online,2024-05-17 14:00:00+03:00,2024-05-17 17:30:00+03:00,0,0,,2,2,0,0,2024-05-17 14:00:00+03:00,,,events/28.png,false,false,back
29,Vue.js для начинающих,Яндекс,"Вебинар, предназначенный для тех, кто хочет начать изучать Vue.js. Основные темы: основы Vue.js, роутинг и состояние.",false,registration is open,online,2024-02-01 10:00:00+03:00,2024-02-01 13:30:00+03:00,0,0,,3,1,0,0,2024-02-01 10:00:00+03:00,,,events/29.png,false,false,front
30,Современные практики в React.js,Яндекс,"Митап о последних трендах и методах в разработке с использованием React.js. Будут освещены вопросы производительности, тестирования и безопасности.",false,registration is open,online,2024-06-12 14:00:00+03:00,2024-06-12 17:30:00+03:00,0,0,,1,1,0,0,2024-06-12 14:00:00+03:00,,,events/30.png,false,false,front
31,Прогрессивные веб-приложения на чистом JavaScript,Яндекс,"Конференция, посвященная созданию PWA с использованием нативного JavaScript.",false,registration is open,hybrid,2024-04-29 10:00:00+03:00,2024-04-29 13:30:00+03:00,0,3,"Будённовский пр-т., 59",5,1,100,0,2024-04-29 10:00:00+03:00,,,events/31.png,false,false,front
32,Ангуляр в действии,Яндекс,"Воркшоп, где участники смогут попрактиковаться в создании приложений с использованием Angular под руководством опытных разработчиков.",false,registration is open,online,2024-04-28 14:00:00+03:00,2024-04-28 17:30:00+03:00,0,0,,2,1,0,0,2024-04-28 14:00:00+03:00,,,events/32.png,false,false,front
